Timestamp,A0_Raw,A1_Raw,A2_Raw,Motor_State
2026-08-23 10:07:21.551157,6468,3496,3145,1
2026-08-23 10:07:21.551177,6344,3424,0,1
2026-08-23 10:07:21.551197,6427,4439,3410,1
2026-08-23 10:07:21.551217,6321,4021,3,1
2026-08-23 10:07:21.551237,6431,4922,3758,1
2026-08-23 10:07:21.551257,6324,4367,4,1
2026-08-23 10:07:21.551277,6435,5128,3736,1
2026-08-23 10:07:21.551297,6335,4534,10,1
2026-08-23 10:07:21.551317,6420,5220,3420,1
2026-08-23 10:07:21.551337,6331,4590,1,1
2026-08-23 10:07:21.551357,6421,5291,3414,1
2026-08-23 10:07:21.551377,6328,4670,14,1
2026-08-23 10:07:21.551397,6411,5356,3423,1
2026-08-23 10:07:21.551417,6323,4692,4,1
2026-08-23 10:07:21.551437,6431,5401,3775,1
2026-08-23 10:07:21.551457,6328,4733,15,1
2026-08-23 10:07:21.551477,6435,5355,3762,1
2026-08-23 10:07:21.551497,6326,4748,10,1
2026-08-23 10:07:21.551517,6425,5360,3403,1
2026-08-23 10:07:21.551537,6325,4738,6,1
2026-08-23 10:07:21.551557,6423,5353,3409,1
2026-08-23 10:07:21.551577,6312,4706,8,1
2026-08-23 10:07:21.551597,6419,5369,3396,1
2026-08-23 10:07:21.551617,6323,4753,6,1
2026-08-23 10:07:21.551637,6421,5430,3778,1
2026-08-23 10:07:21.551657,6321,4746,7,1
2026-08-23 10:07:21.551677,6425,5419,3756,1
2026-08-23 10:07:21.551697,6319,4720,4,1
2026-08-23 10:07:21.551717,6413,5406,3420,1
2026-08-23 10:07:21.551737,6324,4715,18,1
2026-08-23 10:07:21.551757,6420,5372,3416,1
2026-08-23 10:07:21.551777,6329,4726,33,1
2026-08-23 10:07:21.551797,6416,5403,3402,1
2026-08-23 10:07:21.551817,6330,4725,2,1
2026-08-23 10:07:21.551837,6424,5450,3772,1
2026-08-23 10:07:21.551857,6336,4742,6,1
2026-08-23 10:07:21.551877,6475,5384,3754,1
2026-08-23 10:07:21.551897,6320,4741,6,1
2026-08-23 10:07:21.551917,6431,5401,3413,1
2026-08-23 10:07:21.551937,6329,4713,23,1
2026-08-23 10:07:21.551957,6418,5401,3410,1
2026-08-23 10:07:21.551977,6329,4728,17,1
2026-08-23 10:07:21.551997,6419,5400,3399,1
2026-08-23 10:07:21.552017,6328,4756,14,1
2026-08-23 10:07:21.552037,6430,5395,3768,1
2026-08-23 10:07:21.552057,6322,4744,7,1
2026-08-23 10:07:21.552077,6429,5424,3764,1
2026-08-23 10:07:21.552097,6325,4765,14,1
2026-08-23 10:07:21.552117,6421,5396,3409,1
2026-08-23 10:07:21.552137,6314,4749,21,1
2026-08-23 10:07:21.552157,6421,5362,3405,1
2026-08-23 10:07:21.552177,6334,4742,0,1
2026-08-23 10:07:21.552197,6419,5406,3401,1
2026-08-23 10:07:21.552217,6328,4750,5,1
2026-08-23 10:07:21.552237,6413,5396,3770,1
2026-08-23 10:07:21.552257,6322,4710,13,1
2026-08-23 10:07:21.552277,6426,5410,3762,1
2026-08-23 10:07:21.552297,6320,4715,4,1
2026-08-23 10:07:21.552317,6457,5356,3420,1
2026-08-23 10:07:21.552337,6330,4716,17,1
2026-08-23 10:07:21.552357,6420,5401,3405,1
2026-08-23 10:07:21.552377,6322,4765,11,1
2026-08-23 10:07:21.552397,6414,5413,3404,1
2026-08-23 10:07:21.552417,6324,4764,2,1
2026-08-23 10:07:21.552437,6430,5401,3781,1
2026-08-23 10:07:21.552457,6337,4748,16,1
2026-08-23 10:07:21.552477,6424,5389,3767,1
2026-08-23 10:07:21.552497,6319,4752,18,1
2026-08-23 10:07:21.552517,6431,5380,3418,1
2026-08-23 10:07:21.552537,6317,4712,0,1
2026-08-23 10:07:21.552557,6422,5403,3415,1
2026-08-23 10:07:21.552577,6327,4729,13,1
2026-08-23 10:07:21.552597,6421,5405,3403,1
2026-08-23 10:07:21.552617,6338,4722,9,1
2026-08-23 10:07:21.552637,6429,5413,3773,1
2026-08-23 10:07:21.552657,6328,4747,4,1
2026-08-23 10:07:21.552677,6416,5394,3834,1
2026-08-23 10:07:21.552697,6327,4728,17,1
2026-08-23 10:07:21.552717,6416,5403,3422,1
2026-08-23 10:07:21.552737,6330,4738,14,1
2026-08-23 10:07:21.552757,6413,5384,3404,1
2026-08-23 10:07:21.552777,6314,4725,6,1
2026-08-23 10:07:21.552797,6429,5410,3367,1
2026-08-23 10:07:21.552817,6318,4762,11,1
2026-08-23 10:07:21.552837,6427,5403,3780,1
2026-08-23 10:07:21.552857,6327,4732,19,1
2026-08-23 10:07:21.552877,6435,5422,3759,1
2026-08-23 10:07:21.552897,6316,4737,8,1
2026-08-23 10:07:21.552917,6407,5401,3422,1
2026-08-23 10:07:21.552937,6326,4750,8,1
2026-08-23 10:07:21.552957,6417,5406,3411,1
2026-08-23 10:07:21.552977,6315,4754,13,1
