group_id,label,severity,audio_ch1_band00,audio_ch1_band01,audio_ch1_band02,audio_ch1_band03,audio_ch1_band04,audio_ch1_band05,audio_ch1_band06,audio_ch1_band07,audio_ch1_band08,audio_ch1_band09,audio_ch1_band10,audio_ch1_band11,audio_ch1_band12,audio_ch1_band13,audio_ch1_band14,audio_ch1_band15,audio_ch1_band16,audio_ch1_band17,audio_ch1_band18,audio_ch1_band19
Audio_healthy_motor50_base,healthy,motor_50,120856273.27849461,39083165.93938933,29370265.17723313,23122703.903943982,10287417.081912303,21752723.0957916,116118883.7070211,132376776.60767995,229113433.11596864,219184930.23778182,125322852.8906769,74529964.82381561,70459364.73941478,58161667.31741094,35544329.70328519,34953620.78221165,44025984.48194443,60538131.34133384,30346017.22863472,31007436.774629362
Audio_healthy_motor50_base,healthy,motor_50,178411680.68569106,74101995.56711592,31249052.186715014,34361825.536666915,72301756.37652296,76837954.43926434,355481541.6842195,448695300.7648525,268372151.5975769,259905239.71130067,253874162.87335682,100173786.76034372,106184833.47670412,83585932.37573186,96805190.762685,69177256.95838691,63899076.719533734,36211363.12392986,58695535.84915725,37108024.925859794
Audio_healthy_motor50_base,healthy,motor_50,195175350.90068075,58641034.306232356,50764074.95815213,39200907.00413378,28054749.062770452,50448160.34295349,99353890.73362221,230312311.4783284,247659423.444158,239086580.26333886,118728924.91123039,75686551.4134955,67923123.56823422,71752365.69635671,75123912.757285,77861750.42635989,31221222.12508799,31287117.937302534,48386993.51641791,27103164.405847955
Audio_healthy_motor50_base,healthy,motor_50,76085712.52052279,27297499.029591177,26568674.589574356,17257946.542351708,13997529.470352886,16111997.474645263,58811188.24442473,124910235.66610597,92569015.76037264,103367369.61512452,61850750.6847277,37808113.49441738,37454854.932842396,48096459.13187054,31799448.638996076,28149502.57213939,26193782.957344197,31161930.04095029,28020912.52709595,21841896.084960304
Audio_healthy_motor50_base,healthy,motor_50,119039927.14687233,92349078.62640886,54351877.61143966,55865586.70679032,35463972.5114938,61557678.99099043,200761638.92636034,362687069.40529305,379340623.29693,396457237.3153136,241335784.706612,130248897.98208198,196888493.1480121,131524762.57002185,180381148.91981393,245500289.4457859,123201077.9468104,154753407.95518345,150092892.74071097,130061670.64026971
Audio_healthy_motor50_base,healthy,motor_50,462148934.96762395,182161641.52509207,119567243.78639369,107986080.29737729,80671271.06988317,69413624.19737922,186230273.6495214,575919132.7074031,634596032.6918187,519916201.24284303,460231533.1579177,677274851.5217105,494565890.0390719,425379286.06856436,276480558.054631,395579791.44338065,209618738.56712794,256682076.6060513,338661675.2736841,312439112.62675756
Audio_healthy_motor50_base,healthy,motor_50,223686255.76109442,62268715.68469541,41307498.36568526,28106142.796471916,54870721.889217995,107504026.18626592,248866263.90077084,486434336.4590215,381513479.96597004,291052703.64976966,134134045.5905348,126655241.1468401,114068940.68959908,77506820.22824682,101513814.2583968,87130113.1541953,41519985.23300648,63183149.6146277,71536316.86688268,45495253.58862455
Audio_healthy_motor50_base,healthy,motor_50,205946210.56681812,81265684.84724523,36282588.714763865,42720669.21180535,51808224.92375259,87918667.47746356,236644286.7552733,601347438.4486711,553067852.6152269,629781672.839936,362574196.03720206,137436500.80003023,129524521.62770037,206777679.28222078,118361226.87178999,121965303.45834704,72027636.85646132,120403545.07206611,74827102.18000253,70717370.26981856
Audio_healthy_motor50_base,healthy,motor_50,141171279.3167863,124001666.58198394,121015654.50102638,91985330.27592853,69716813.63376407,103142116.63303319,302743096.0682991,428085499.87019426,288080278.00330573,317880402.9835683,265424391.06177217,212508578.25689068,266706219.94745475,140844275.685238,141851838.85553,191744255.96093264,117301721.7648481,208186627.31638736,145825363.68474823,141382941.20614234
Audio_healthy_motor50_base,healthy,motor_50,790241104.0176486,255380556.6407743,141102607.84410566,136033480.4727826,106353183.30142163,117484210.52578224,260229498.2617789,288411845.9732163,433597677.18255764,401006077.7320454,550431647.9052988,621210098.8462496,553198960.4677162,760850907.6075042,269742103.57199836,266081696.3433021,216687370.8853467,198702696.57075313,270954586.47446084,215760483.4967417
