group_id,label,severity,piezo_ch1_band00,piezo_ch1_band01,piezo_ch1_band02,piezo_ch1_band03,piezo_ch1_band04,piezo_ch1_band05,piezo_ch1_band06,piezo_ch1_band07,piezo_ch1_band08,piezo_ch1_band09,piezo_ch1_band10,piezo_ch1_band11,piezo_ch1_band12,piezo_ch1_band13,piezo_ch1_band14,piezo_ch1_band15,piezo_ch1_band16,piezo_ch1_band17,piezo_ch1_band18,piezo_ch1_band19,piezo_ch2_band00,piezo_ch2_band01,piezo_ch2_band02,piezo_ch2_band03,piezo_ch2_band04,piezo_ch2_band05,piezo_ch2_band06,piezo_ch2_band07,piezo_ch2_band08,piezo_ch2_band09,piezo_ch2_band10,piezo_ch2_band11,piezo_ch2_band12,piezo_ch2_band13,piezo_ch2_band14,piezo_ch2_band15,piezo_ch2_band16,piezo_ch2_band17,piezo_ch2_band18,piezo_ch2_band19,piezo_ch3_band00,piezo_ch3_band01,piezo_ch3_band02,piezo_ch3_band03,piezo_ch3_band04,piezo_ch3_band05,piezo_ch3_band06,piezo_ch3_band07,piezo_ch3_band08,piezo_ch3_band09,piezo_ch3_band10,piezo_ch3_band11,piezo_ch3_band12,piezo_ch3_band13,piezo_ch3_band14,piezo_ch3_band15,piezo_ch3_band16,piezo_ch3_band17,piezo_ch3_band18,piezo_ch3_band19
Piezo_cavitation_motor50_base,cavitation,motor_50,67336595.1,61090967.73,270912234.8,86650651.42,68931470.88,112041391.6,75740943.87,80096604.87,86711257.52,120302196.1,38075437.56,42859051.9,95373291.44,44507454.59,46984697.31,126378240.7,40029221.97,60309858.92,106763825.7,72211218.64,1378734611,706698030.6,1159297774,429657099.4,721440954.9,8031925464,1541275938,674452129.4,691227696.1,633442541.7,414907737.9,516223853.7,6272669759,501811852.8,413485133,681563480.3,403377153.8,578238236,5502291215,608689043.5,20990430422,23307733441,50938495317,22225346506,17797908426,35254590987,27786870903,22131335609,27830146704,35418811461,19184086526,21326458050,50998605428,23762933205,20719844621,39527570215,19644478808,26401627492,47113167125,23723567360
Piezo_cavitation_motor50_base,cavitation,motor_50,66377104.81,65890248.69,262544991.7,117439016.9,99462292.29,154694613.9,71107968.8,74334075.96,60415915.66,87119998.46,58123447.58,59518193.89,91941526.31,53938642.81,78350705.21,90368820.33,65790914.47,55112173.46,103529532.8,84575322.43,792392744.1,554253638.6,808131805,480081877.6,383843534.3,8513113275,1392911652,480549306.1,463116341.8,413574080.9,291810970.1,614717176.9,5805375445,466530579.6,416210523.4,329887012.6,361752240,422487934.3,5276906202,740448398.3,28200625226,23467214160,47112214973,37242649222,27664751135,38606283520,21763733769,20538027886,21889144294,38405659289,26789645770,37295686384,47284244758,23520915369,28094649554,20585295203,28518021151,21961433075,53159583919,41661615953
Piezo_cavitation_motor50_base,cavitation,motor_50,108212098.8,64398392.61,208479657.5,51007602.13,82621852.89,213383330.2,93867719.93,65227995.2,93501016.45,114011028.4,66306447.32,57459408.72,103329952.1,48159932.48,76376893.2,79275248.65,67868956.1,48842005.48,67978506.97,86554397.99,1618713802,931312741.9,1010323977,356070110.8,487028265.6,5682899722,1510609674,637582098,375877048.8,691195261.2,410011527.5,600094594.8,4367892925,630176486.2,675798394.5,296020898.3,481651301.7,458759765.1,4134129672,623670529.7,36895631226,26611350681,40942749901,18787943090,24428016806,46047358531,29855074776,22509557979,28903889336,46941346628,25054231328,19030508107,40802853336,26148391671,37304787037,17050510788,29425594656,17864566414,34685835674,34379320996
Piezo_cavitation_motor100_base,cavitation,motor_100,49486611364,77602938167,1.52938E+11,7.78521E+11,2.10913E+11,19445771863,29878234343,25929895991,15659549062,27278663890,12506756091,20325374633,15767780864,16670085420,15881243155,22267118795,30294296071,92608251278,1.8455E+11,76941353640,2284721851,2681900570,6889078500,32774603726,9034648712,888365708.1,1336189423,1164793711,922457643,1147498679,633258251.1,757641577,760682945.6,941755681.4,893196363.9,1181612648,1088885850,2887655410,5457370657,2368465673,42896812547,86021808838,67717091910,28856594403,11139701755,18133744482,23762498372,23558050030,20890016080,20940656906,17950041396,34337443597,33501973814,44135457162,46712641593,83460319657,91143988180,83542483538,47373298803,32547949265
Piezo_cavitation_motor100_base,cavitation,motor_100,335028648.5,1279153838,456608556.2,413140282.1,288827681.2,438333123,399309654.4,294971025.1,182532874,317454205.8,231846659,187137457.9,240719957.6,122270085.8,162448526.3,157589929.1,286633926.8,1179437676,594475888.7,406887205.4,376560734.9,1242798339,606999411.3,441181742.3,280746611.2,757169154.1,556788100.7,335944182.4,247347052.8,477721545.2,237618612,243757693.6,297091818.5,211104088.2,298366770.4,318467536.4,373649700.5,409566354.1,390801344.5,404360726.4,71970383461,2.6274E+11,1.00371E+11,84877157394,46586422820,67199198965,80265287896,58989813230,40972928471,68143602746,32772993684,34911066779,20771083945,34219078741,45239131301,43208284431,57253408050,69972417909,41764970458,55033208746
Piezo_cavitation_motor100_base,cavitation,motor_100,600512265.2,1384801691,283458904.7,264539915.1,285112637.3,378413287.6,743785751.7,398821527.7,189924503,252424713.8,169373076,263003785.2,241791914.7,98960564.16,120229508.1,206875503.3,197880086.8,874378966.9,397300875.4,348881826.6,710735796.2,1424373205,337454869.9,248986259.1,363304649.6,445204264,889774917.1,492456824.3,272817946.7,346424831.9,243387295.7,289423812.5,443419965.8,231438130.8,270514445.5,447951700.3,365399146.6,411139785,308136844.1,290094926.5,1.19526E+11,3.04893E+11,54301192285,47245670339,58609182409,64211358808,1.41398E+11,69993622084,41818515478,52393281048,36823661143,41214587430,37508005414,28424293174,35146756266,65054073420,62071859732,55472515449,43945997626,38449779443
Piezo_cavitation_motor100_base,cavitation,motor_100,1198525551,393242679.7,267969734.7,262519074.8,230630694.8,316389332,260979593.8,480084723.9,253900887.1,229663352.9,301577284.3,241883181.4,279211149.1,163642363.6,193286672.9,123546640.2,199897815.6,560230344.8,839285415,395712268.7,1291910972,519050369.6,361976913.1,423548264.4,317632450.2,448954992.2,313402982.2,664379852.2,372725408.2,332482938,433832084.9,285084663.5,300975724.4,393500556.3,387474688.9,230763999.2,287731363.7,319805665,359983770,370907700.1,2.38087E+11,1.01367E+11,44836945687,61022470567,40928947346,44353000576,46074874531,94716776349,47478905727,48446329651,65413659582,46162348819,39837024081,51329604313,56457586916,43784079478,36718394484,53868424242,46140672142,55794421195
Piezo_cavitation_motor100_base,cavitation,motor_100,650145202.1,756091188.4,309993393.9,391921775.1,276165883.5,325926332.7,460876288.5,238366895.7,263784806.7,196815400.8,265972194.3,266086861.8,264938749.3,182653322.1,122535265,139780622.9,256707610.5,978018521.8,809837626.3,412225839.7,662231873.8,693040534.1,376199399.4,430519172.1,352208327.1,455048070.8,604089006.7,274050146,373345102.1,357946225.4,501671849.4,303853935.3,464379080.7,311718277.4,275362490.7,249979821.9,286296792.2,481850002.5,497787976.8,284879347.5,1.21409E+11,1.59735E+11,73574715094,55873358174,59279462929,52392040490,59957191246,45678425441,63942144826,47893020252,76381685650,50715173618,45700784879,51231634311,31675867478,34246852230,47083608310,67355761791,63970070391,42462104254
Piezo_cavitation_motor100_base,cavitation,motor_100,940369960.9,414968166.6,283433005.5,246087215.7,352358436.6,520689926.6,292077927.5,363592888.9,163855510.7,200796676.9,194869828,413309385.8,349459524.2,137543370.4,146681529.4,112827611.9,166293917.5,706653983,1257084173,380107230.3,906598359.3,465632302.2,328349327.5,283983467.1,389316491.3,807925560.4,420500937.5,492538048.4,259270007.3,228412256.1,309750793.9,402893726.3,548200087.6,280417006.4,291702333.3,207730707.7,246765417.1,366754396.3,679824813.8,323184471.9,1.99088E+11,87372678051,57463884287,46001508311,68646870727,70097383631,55298009243,73294217297,31195814523,33291255122,53706339284,68514227132,45206177565,45728769953,44640561327,27088717007,33997743635,55916389596,71105115028,43605071934
Piezo_cavitation_motor100_base,cavitation,motor_100,1130874299,516846097.4,199848532.8,157034849.7,176861277.7,534573343.4,396680438.5,426507509.1,158276104.8,190266944.4,190210524.1,240148325.4,415757081,156168943.1,150223970.4,155087799.8,143267272.4,361809387.2,886835250.8,316643047.4,1107529803,650068521.6,308782843.9,284287502.3,258480479.4,648848599.1,495806576.2,462095059.5,331811610.4,385068548.9,265795831.7,255937361.2,740276283.8,316900990.8,248790798.9,321977289.7,270421961.8,244751358.8,545750297,312047931.6,2.32219E+11,1.15946E+11,41255698182,34933053542,35238906481,78732850661,71309176297,82279283232,32891090365,57100121624,49942037732,39147325290,85355807851,34927968910,40050891189,44165546618,36218823434,32599658613,62268577174,44913219881
