Timestamp,A0_Raw,A1_Raw,A2_Raw,Motor_State
2026-08-23 07:23:25.090393,6509,3738,3094,1
2026-08-23 07:23:25.090413,6360,3360,14,1
2026-08-23 07:23:25.090433,6445,4624,3322,1
2026-08-23 07:23:25.090453,6335,3936,0,1
2026-08-23 07:23:25.090473,6447,5087,3326,1
2026-08-23 07:23:25.090493,6338,4258,8,1
2026-08-23 07:23:25.090513,6360,5326,3678,1
2026-08-23 07:23:25.090533,6392,4449,5,1
2026-08-23 07:23:25.090553,6451,5463,3674,1
2026-08-23 07:23:25.090573,6346,4497,6,1
2026-08-23 07:23:25.090593,6455,5523,3688,1
2026-08-23 07:23:25.090613,6342,4530,10,1
2026-08-23 07:23:25.090633,6450,5560,3687,1
2026-08-23 07:23:25.090653,6348,4582,68,1
2026-08-23 07:23:25.090673,6460,5563,3669,1
2026-08-23 07:23:25.090693,6339,4588,1,1
2026-08-23 07:23:25.090713,6445,5558,3341,1
2026-08-23 07:23:25.090733,6340,4628,1,1
2026-08-23 07:23:25.090753,6446,5533,3335,1
2026-08-23 07:23:25.090773,6339,4639,11,1
2026-08-23 07:23:25.090793,6456,5533,3305,1
2026-08-23 07:23:25.090813,6348,4638,16,1
2026-08-23 07:23:25.090833,6455,5588,3674,1
2026-08-23 07:23:25.090853,6344,4619,0,1
2026-08-23 07:23:25.090873,6447,5591,3670,1
2026-08-23 07:23:25.090893,6336,4640,0,1
2026-08-23 07:23:25.090913,6440,5569,3335,1
2026-08-23 07:23:25.090933,6331,4640,5,1
2026-08-23 07:23:25.090953,6458,5577,3330,1
2026-08-23 07:23:25.090973,6344,4636,10,1
2026-08-23 07:23:25.090993,6447,5606,3666,1
2026-08-23 07:23:25.091013,6351,4582,6,1
2026-08-23 07:23:25.091033,6445,5536,3325,1
2026-08-23 07:23:25.091053,6335,4617,0,1
2026-08-23 07:23:25.091073,6454,5561,3670,1
2026-08-23 07:23:25.091093,6331,4578,14,1
2026-08-23 07:23:25.091113,6433,5565,3335,1
2026-08-23 07:23:25.091133,6347,4631,12,1
2026-08-23 07:23:25.091153,6443,5566,3336,1
2026-08-23 07:23:25.091173,6344,4564,2,1
2026-08-23 07:23:25.091193,6357,5587,3657,1
2026-08-23 07:23:25.091213,6379,4582,13,1
2026-08-23 07:23:25.091233,6453,5536,3322,1
2026-08-23 07:23:25.091253,6336,4628,0,1
2026-08-23 07:23:25.091273,6449,5582,3651,1
2026-08-23 07:23:25.091293,6345,4580,3,1
2026-08-23 07:23:25.091313,6447,5567,3332,1
2026-08-23 07:23:25.091333,6337,4595,2,1
2026-08-23 07:23:25.091353,6444,5540,3336,1
2026-08-23 07:23:25.091373,6349,4637,22,1
2026-08-23 07:23:25.091393,6452,5557,3654,1
2026-08-23 07:23:25.091413,6389,4587,3,1
2026-08-23 07:23:25.091433,6443,5550,3356,1
2026-08-23 07:23:25.091453,6336,4648,14,1
2026-08-23 07:23:25.091473,6451,5567,3675,1
2026-08-23 07:23:25.091493,6338,4639,3,1
2026-08-23 07:23:25.091513,6443,5582,3335,1
2026-08-23 07:23:25.091533,6342,4620,127,1
2026-08-23 07:23:25.091553,6444,5585,3336,1
2026-08-23 07:23:25.091573,6346,4618,2,1
2026-08-23 07:23:25.091593,6452,5608,3886,1
2026-08-23 07:23:25.091613,6341,4646,10,1
2026-08-23 07:23:25.091633,6448,5536,3332,1
2026-08-23 07:23:25.091653,6350,4592,4,1
2026-08-23 07:23:25.091673,6454,5579,3664,1
2026-08-23 07:23:25.091693,6348,4641,9,1
2026-08-23 07:23:25.091713,6446,5558,3309,1
2026-08-23 07:23:25.091733,6338,4588,14,1
2026-08-23 07:23:25.091753,6443,5575,3340,1
2026-08-23 07:23:25.091773,6345,4617,5,1
2026-08-23 07:23:25.091793,6455,5574,3679,1
2026-08-23 07:23:25.091813,6335,4591,6,1
2026-08-23 07:23:25.091833,6449,5529,3321,1
2026-08-23 07:23:25.091853,6344,4651,10,1
2026-08-23 07:23:25.091873,6455,5562,3664,1
2026-08-23 07:23:25.091893,6338,4652,1,1
2026-08-23 07:23:25.091913,6443,5574,3342,1
2026-08-23 07:23:25.091933,6349,4594,0,1
2026-08-23 07:23:25.091953,6445,5547,3266,1
2026-08-23 07:23:25.091973,6342,4622,1,1
2026-08-23 07:23:25.091993,6449,5607,3707,1
2026-08-23 07:23:25.092013,6333,4644,0,1
